m/z;Intensity
190.7862;31.2
190.8052;25.6
190.8155;54.3
190.8816;38.4
190.9076;21
190.9771;285.9
190.9902;135.9
191.0057;50
191.0071;52.7
191.0194;2530.7
191.0557;1921.6
191.094;38.1
191.1075;336
191.1536;25.5
191.1855;22.3
191.1967;44.1
191.3728;18.8
191.4029;14.3
191.4146;29.1
191.4956;30
191.5326;29.8
191.7803;25.1
191.8063;27.7
191.8136;30.8
191.8417;28.5
191.9442;15.6
191.9541;21.8
192.0224;30.9
192.0664;1472.6
192.1689;16.8
192.2491;23.3
192.2871;29.8
192.4106;35.8
192.4193;30.2
192.4211;45.2
192.4229;31.1
192.5252;25.7
192.5407;35.1
192.5978;26.9
192.6023;33
192.7236;46.7
192.7709;29.3
192.8443;27.8
192.8586;31.7
192.9219;34
192.9284;21.6
192.9496;24.3
192.9784;574.6
192.989;40.9
193.0118;28.1
193.0174;217.1
193.0269;31
193.0354;264.9
193.0512;180.6
193.0715;7585.7
193.0868;12261
193.0994;308.9
193.1133;34
193.1595;620.4
193.2565;33.7
193.2698;41.5
193.3613;21.7
193.4009;22.8
193.7387;25
193.8598;26.4
193.879;28.2
193.9108;35.7
193.9271;20.7
194.001;45.2
194.0139;36.4
194.0467;25.7
194.059;102.1
194.0764;58.8
194.082;739.9
194.0901;139
194.2171;27.8
194.3356;31.4
194.4333;19.6
194.4412;39.6
194.4764;27.7
194.8321;35.4
194.8568;25.7
194.9107;29.1
194.9206;31.3
194.9339;23.2
194.9463;4138.4
194.9675;32
194.9876;34.2
194.9966;5392.9
195.0058;28.8
195.0324;664.8
195.0428;74.7
195.066;1533.9
195.0881;26.1
195.1025;348.7
195.1078;25.6
195.1251;126.9
195.1388;16592.5
195.1584;23.4
195.1602;30.2
195.1623;21.1
195.2275;27.1
195.2691;24.1
195.3452;32.6
195.3723;27.8
195.448;26.1
195.6285;22.3
195.8708;29.3
195.9028;34.4
195.9875;31.8
195.9994;30.1
196.017;41.4
196.0376;45.3
196.0611;47.1
196.0698;32.5
196.142;241.8
