"","ColTer331_1","ColTer331_2","ColTer331_3","JantAD80_1","JantAD80_2","JantAD80_3","PaenAD87_1","PaenAD87_2","PaenAD87_3","PsAD210_1","PsAD210_2","PsAD210_3","SerratiaPRI_1","SerratiaPRI_2","SerratiaPRI_3"
"group","ColTer331","ColTer331","ColTer331","JantAD80","JantAD80","JantAD80","PaenAD87","PaenAD87","PaenAD87","PsAD210","PsAD210","PsAD210","SerratiaPRI","SerratiaPRI","SerratiaPRI"
"326.8/55","0","0","0","76876.3022196778","109773.31284668","0","140298.928838389","0","16455.4353678385","40584.2890899995","90216.41704694","15272.8563059111","0","10782.1236971275","6959.81869995892"
"327.2/13","28827.1740369014","0","38158.4571619048","485558.244319426","12331.3060744629","188591.344081027","10042.8990380859","308287.653215111","176502.667390918","86334.5866838889","13659.7578344678","132341.551803338","80394.1427821277","218624.597458653","172039.244150303"
"328.8/77","0","0","0","61204.3808069093","77011.7022140416","0","181855.754412347","0","0","128636.711258722","4382.91142091807","30570.3988871806","0","30331.7024657607","8459.2861754406"
"329.2/27","88432.7914982215","4399.3339979358","23683.5894842251","327409.120779694","177176.216993626","225266.08640627","86056.7615250109","243982.243643611","155911.88868976","331457.852115175","296483.954365393","374503.191171974","136544.027675404","345621.403317818","127669.128974367"
"333.1/38","8384.24314306641","113732.36279973","160405.814918306","56540.7269368908","87909.6778334286","83149.1940057091","113592.365525757","117712.008719236","141046.082883301","111591.899231424","117841.374555634","109585.871819315","913510.902167968","574007.537429559","540436.184620026"
"334.3/28","140184.532673065","37176.3512855467","45685.5269426685","72601.6270632884","49137.8135387277","49429.8239000249","101735.598322933","77564.2083254084","155292.831658426","76476.041535601","62222.4343764037","101626.679186849","270888.232642822","555999.902853638","208908.1824338"
"336.2/37","48927.1591699625","48464.4092377396","54321.6724566047","47947.0967343467","39590.8219434036","20923.4509983156","60882.6163130703","56090.3056901395","22547.4432663086","51443.8565011059","34676.3537851231","63551.9792473053","122929.432390789","486032.903370584","18225.9561391748"
"339.2/35","364624.895024121","277270.042233236","285317.275111816","8090517.11510743","2334538.12461048","10954.2809196777","1095188.61367412","21518.5353575781","714254.499364746","979289.826944619","1006156.48937395","1421019.93913953","1250093.98584553","2848622.45008527","87295.977740918"
"341/106","11778.8454174805","3037.64384487954","6717.29493027941","20085.8225947653","1717.09081893647","10419.4547885675","3284.54366473938","27672.2100977236","3842.31579956055","36127.1213077115","14489.0523160651","27352.0743046898","2648.98450426377","26299.388446752","9740.10265849158"
"341.3/30","301563.303223518","1314778.60724109","413144.15785002","34500.2577319336","1106059.62804662","1412756.64077512","691306.353672206","17944.8613835449","87523.3619894409","2892670.84114743","1700646.22274996","4187345.12623161","1107375.21614551","3350519.69814426","652810.258744678"
"343.2/62","17920.0513696289","151717.788309152","112765.174086997","53231.7522739955","44260.6277696917","111629.69851199","46641.8967237396","94833.6949909571","3058.37224163736","181272.942909766","14177.7378255762","181267.454819446","40430.427276001","254502.38986979","27525.7561796875"
"344.2/37","6730.82485396601","3249.05812907964","94331.7763253566","12610.3529746618","45863.3215805069","64351.4867915921","91209.3262519775","102219.010772881","13428.7927675781","58728.3888182323","65569.4197968962","88492.5800618564","0","310398.760823794","117243.655310094"
"345.1/33","6025.09659082031","563473.309722431","44623.8096498052","532353.199765742","305586.317613155","340316.401817965","288251.278277072","350391.00710212","480804.26715332","487677.634436226","454613.021464264","20014.30521854","269433.965088516","497186.112359324","150111.647615612"
"346.2/29","67657.3974486779","99688.8007324162","13789.2497712505","128798.840505797","57944.3994998932","107945.509495746","47763.6704528253","109073.534114957","87097.7221440972","150957.82362025","156757.463341881","175122.98674469","35007.0557184086","158282.835186662","47139.3680548668"
"347.2/25","80564.1353149444","181128.008750727","26182.4353518164","250323.705155134","135369.454579641","207491.708220778","144463.671270999","164039.640578174","150257.78788147","268145.621403297","219668.842675489","321145.311880024","124628.857374216","247254.520032569","76553.9128816915"
"348.2/78","14782.2261596426","0","0","10435.4791577148","11668.347850586","3633.35743113421","0","0","0","17368.5504058935","0","9681.33706220186","0","0","2028.24092315719"
"349.2/30","46331.2502030991","75379.8653515625","18570.8999267578","336216.890559221","102240.357215154","765149.031844667","106988.735166016","896667.556732913","231160.491795986","112039.113195643","40672.0000760257","117583.382662028","217860.852026367","148250.54188687","23781.4199648"
"351.2/49","14951.4035574777","26820.8512572477","34731.9196484685","56880.7666664551","5611.85215993579","36862.0355835732","5064.64005684465","17085.3433374024","4741.04774098389","13865.9068443778","10713.3442081304","19820.0764473749","202544.284597412","53378.37735557","8883.77698293386"
"356.1/41","4109.80758104433","12017.080385251","0","0","5867.34869821146","4210.24819304142","11494.0865927734","3870.39854300441","757.253214297816","130005.183376357","49994.4453208831","82416.7016155273","752535.514609375","87124.2794778546","156633.145670752"
"361.2/26","657004.610202536","167981.511258621","1324968.69826401","21975.3164805908","1748520.16972411","3006839.60595215","1110953.70068645","2662691.03937161","1068213.95061865","2384881.12276154","2906157.61092336","4345614.67058371","343673.540319084","3810691.90079699","614610.378530764"
"362.3/35","1117225.02963676","173042.446338867","356714.819898549","316054.055616928","197545.178903469","155356.261349033","321650.515317847","238280.10880743","87213.6116909397","326153.67476669","236826.339822891","21206.87140625","635451.02559082","3427927.7835273","854896.090940889"
"363.3/42","16307.6246536691","16371.6176018743","16224.6848306507","37126.1489422368","25357.2160690778","37374.0342011352","9459.16130200195","26238.1983842774","68437.1907019043","49393.2188149565","60331.3382635187","44627.3771155598","3857.63681646669","56772.6387513008","7376.91961212158"
"365.2/21","5731.86549700733","0","457.503161979304","10152.6296168016","7281.52004147824","13995.7952709961","10232.6763434088","15970.9656292771","95943.6144667341","0","17806.8423374933","10398.7164353174","10678.683115315","6616.52600509606","0"
"367.2/18","8045.4762582564","554.198436083447","644.488122360577","98004.7014391827","61906.2941204309","98886.788965455","7826.8891078125","52839.4072535051","132820.204754232","45377.4133335389","95821.7762359511","37535.0422903803","16562.1737726508","6599.24919197336","10402.8144186306"
"369.1/53","10915.5565268273","6456.25639746902","0","189467.875975477","116512.122948963","144605.530376628","15428.6743706116","198885.027576931","17919.3203148242","23349.6042838097","117373.992650177","28172.981262207","23283.3555593421","33272.1154303447","17884.7648653211"
